"TL","meanTL","Omnv","Basal","Int","Top","Links","Gen","Vul","Taxa"
3.4,1.8088,0.16,0.4,0.6,0,135,0.829896892577083,0.855333732132779,25
4.3027950310559,2.2139564642282,0.183333333333333,0.116666666666667,0.75,0.133333333333333,185,1.59701905024673,1.18269580209376,60
3.33333333333333,1.85799366838148,0.175,0.35,0.65,0,334,0.956758641326487,0.873155003109898,40
4.95002412241493,3.62798914884948,0.9,0.1,0.9,0,229,0.76270425420966,0.547742545844952,30
3.94940476190476,2.34085352891156,0.5,0.0714285714285714,0.821428571428571,0.107142857142857,127,0.951570571063358,0.595478616965916,28
5.16577280743947,3.55032976336315,0.678571428571429,0.0714285714285714,0.857142857142857,0.0714285714285714,218,0.852233097724007,0.564052335740895,28
3.13888888888889,1.72924648786718,0.241379310344828,0.310344827586207,0.620689655172414,0.0689655172413793,42,0.969238561141157,1.2595440632092,29
5.18310015430745,3.84750013302367,0.620689655172414,0.0689655172413793,0.931034482758621,0,203,0.727430078392719,0.878973692545226,29
3.30140905647721,1.75621091813707,0.261538461538462,0.4,0.569230769230769,0.0307692307692308,943,0.984813184596149,0.93532507993413,65
3,1.60952380952381,0.051948051948052,0.454545454545455,0.467532467532468,0.0779220779220779,240,1.88588737218201,1.29067254471847,77
3.0561259754738,1.47268994688176,0.0823529411764706,0.576470588235294,0.411764705882353,0.0117647058823529,373,1.32134817938926,1.55079988074188,85
4.28041741869954,2.38082127690079,0.58974358974359,0.102564102564103,0.846153846153846,0.0512820512820513,248,0.93418171989599,0.945950535885797,39
3.19284099334437,1.58627576082647,0.133333333333333,0.52,0.48,0,553,0.555522682585915,1.66698759804519,75
3.5,1.5282928064843,0.106382978723404,0.563829787234043,0.382978723404255,0.0531914893617021,565,1.28048323975646,1.48195963139169,94
3.44494075743059,1.96295607817068,0.32,0.32,0.68,0,178,0.652901084223003,0.895945596547242,25
4.633063716837,3.25823447503178,0.772727272727273,0.0909090909090909,0.795454545454545,0.113636363636364,413,0.844277091369576,0.749193719593651,44
2.98644887720975,1.5237974567072,0.0740740740740741,0.518518518518518,0.453703703703704,0.0277777777777778,708,1.33950127020745,1.43315091859394,108
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.88888888888889,2.55402169846614,0.606060606060606,0.151515151515152,0.515151515151515,0.333333333333333,72,1.19877686506798,0.746592374466222,33
5.63087279658402,4.11275904820846,0.833333333333333,0.1,0.9,0,290,0.599109593937189,0.705466782954715,30
4.95813332431568,3.03160596689489,0.76,0.06,0.94,0,556,0.605478638793647,0.895720452624753,50
3.16666666666667,1.91666666666667,0.461538461538462,0.307692307692308,0.615384615384615,0.0769230769230769,34,0.86260582654848,0.917361066545184,13
3.03571428571429,1.62547208538588,0.155172413793103,0.482758620689655,0.396551724137931,0.120689655172414,126,1.95322411625861,1.30236815286733,58
3,1.5443661971831,0.140845070422535,0.535211267605634,0.309859154929577,0.154929577464789,148,2.24683679696468,1.55290750049795,71
2.6,1.52876602564103,0.15625,0.53125,0.34375,0.125,140,0.820539490797284,1.48216520442872,32
3.13333333333333,1.5072323481962,0.0843373493975904,0.55421686746988,0.385542168674699,0.0602409638554217,415,1.19225140580087,1.53591158282106,83
3.02777777777778,1.53743787837716,0.0860215053763441,0.537634408602151,0.397849462365591,0.0645161290322581,538,1.36917384221576,1.34741372665687,93
3.30692855846042,1.72768488228905,0.271028037383178,0.467289719626168,0.457943925233645,0.0747663551401869,966,1.06509182096257,1.26425159661397,107
3.48176370138867,1.78894711797791,0.2,0.371428571428571,0.628571428571429,0,286,0.843944186231164,0.886703019040584,35
3.6380266075388,1.85856328761755,0.181818181818182,0.340909090909091,0.636363636363636,0.0227272727272727,386,1.05591334139437,0.891428467921778,44
3.24281632519779,1.65219133157198,0.208333333333333,0.489583333333333,0.40625,0.104166666666667,634,1.28473972027534,1.31994987763492,96
4.13252253114285,3.07561628458349,0.692307692307692,0.115384615384615,0.846153846153846,0.0384615384615385,189,0.848512301061387,0.707424621762666,26
3.85235433604336,2.40896481224392,0.625,0.125,0.84375,0.03125,139,0.954788187581255,0.798796324970323,32
3.84930555555555,2.3571056297098,0.606060606060606,0.151515151515152,0.818181818181818,0.0303030303030303,141,0.960132167980506,0.828029370978626,33
3,1.44939827158904,0.0714285714285714,0.591836734693878,0.346938775510204,0.0612244897959184,629,1.22105220990934,1.56442804220962,98
2,1.56969696969697,0,0.43030303030303,0.56969696969697,0,114,1.62700973101575,1.27486087555074,165
3.125,1.67932100265806,0.221153846153846,0.461538461538462,0.394230769230769,0.144230769230769,342,1.85417590866185,1.32630743823255,104
3.2233889361881,1.74423040929335,0.172413793103448,0.379310344827586,0.597701149425287,0.0229885057471264,1654,0.987917674436244,0.940710615270659,87
3.9025641025641,2.3955647955648,0.108108108108108,0.027027027027027,0.810810810810811,0.162162162162162,74,1.4481789330819,1.56347191994114,37
3.12044963558334,1.97263627215706,0.230769230769231,0.269230769230769,0.730769230769231,0,103,0.840186792763315,1.43769329600748,26
3.38888888888889,2.06749931749932,0.324324324324324,0.135135135135135,0.648648648648649,0.216216216216216,79,1.27388082163768,1.18465880120816,37
4.61692647650128,3.17757562002538,0.8375,0.125,0.7625,0.1125,1446,0.830495067858534,0.68485780773044,80
3.26099537037037,1.82937885802469,0.230769230769231,0.320512820512821,0.58974358974359,0.0897435897435897,241,2.03975185826012,1.17586780540581,78
3.91699336190864,2.49791182674762,0.65,0.075,0.85,0.075,241,1.11592169811695,0.786155518701763,40
3,1.99,0.16,0.14,0.68,0.18,131,2.05597045331082,1.55353070844111,50
3.96292479019004,2.53976001441518,0.7,0.1,0.9,0,185,1.12688816905344,0.634046781345225,40
2.71428571428571,1.31652209345126,0.112781954887218,0.729323308270677,0.203007518796992,0.0676691729323308,416,1.06721556714591,1.86397897913281,133
3.51674603174603,2.08874874095112,0.207547169811321,0.0660377358490566,0.811320754716981,0.122641509433962,310,2.67485028411239,1.32279448273188,106
3.34017857142857,1.69914148351648,0.102564102564103,0.41025641025641,0.551282051282051,0.0384615384615385,268,1.87951907005115,1.20192257163632,78
5.50725638067742,2.92188043317182,0.725663716814159,0.194690265486726,0.805309734513274,0,1902,0.44769354232731,1.28189351771138,113
3.38333333333333,2.02223875661376,0.1875,0.1875,0.604166666666667,0.208333333333333,138,1.05115890522858,1.1627765175558,48
4,2.62567672491197,0.241758241758242,0.032967032967033,0.945054945054945,0.021978021978022,1834,1.07975878233459,0.96181994418637,91
2,1.5,0,0.5,0.5,0,178,1.37475605359056,1.3199954161592,56
3.81693228414463,2.66812895383264,0.514285714285714,0.0285714285714286,0.971428571428571,0,380,0.457887174771193,1.07601258342114,35
4.40287464600752,2.77757992769844,0.6875,0.125,0.708333333333333,0.166666666666667,221,0.911336089438964,0.745333555441122,48
3.6,2.26027708488945,0.5,0.136363636363636,0.772727272727273,0.0909090909090909,218,0.789486846725909,1.0291180584034,44
3.5,1.52130415042317,0.107142857142857,0.5625,0.401785714285714,0.0357142857142857,832,1.35951443262301,1.44417873556828,112
3.14285714285714,1.44196428571429,0.0625,0.6125,0.3625,0.025,335,1.22305548349966,1.72125506396853,80
2.8125,1.34543918918919,0.027027027027027,0.675675675675676,0.310810810810811,0.0135135135135135,391,1.10022542145916,1.60759579986192,74
2.55991357210869,1.26323671941936,0.0348837209302326,0.732558139534884,0.255813953488372,0.0116279069767442,423,0.938295249801011,2.33839216975198,86
3.33333333333333,1.57151559454191,0.0789473684210526,0.526315789473684,0.381578947368421,0.0921052631578947,177,1.83432352205832,1.40827109166826,76
2.5,1.48960846560847,0.133333333333333,0.413333333333333,0.586666666666667,0,113,1.52124897678505,1.35131589762426,75
3.07179487179487,1.63944541130061,0.0923076923076923,0.461538461538462,0.461538461538462,0.0769230769230769,185,1.72487970806796,1.3653497934364,65
4.19615204015726,2.87982797778256,0.571428571428571,0.012987012987013,0.987012987012987,0,958,0.71647405410211,1.1481804188503,77
2,1.51612903225806,0,0.483870967741935,0.516129032258065,0,211,1.38586630352776,1.54613984745041,62
